Category ID,Category Path,Standard Fee Rate,Basic Fee Rate,Premium Fee Rate,Anchor Fee Rate
60275,Antiques > Furniture > Armoires & Wardrobes > 1800-1899,10%,9.15%,9.15%,9.15%
66858,Antiques > Furniture > Armoires & Wardrobes > 1900-1950,10%,9.15%,9.15%,9.15%
162894,Antiques > Furniture > Armoires & Wardrobes > Post-1950,10%,9.15%,9.15%,9.15%
162895,Antiques > Furniture > Armoires & Wardrobes > Unknown,10%,9.15%,9.15%,9.15%
63552,Antiques > Furniture > Beds & Bedroom Sets > Pre-1800,10%,9.15%,9.15%,9.15%
63550,Antiques > Furniture > Beds & Bedroom Sets > 1800-1899,10%,9.15%,9.15%,9.15%
63551,Antiques > Furniture > Beds & Bedroom Sets > 1900-1950,10%,9.15%,9.15%,9.15%
156308,Antiques > Furniture > Beds & Bedroom Sets > Post-1950,10%,9.15%,9.15%,9.15%
162887,Antiques > Furniture > Beds & Bedroom Sets > Unknown,10%,9.15%,9.15%,9.15%
63554,Antiques > Furniture > Benches & Stools > Pre-1800,10%,9.15%,9.15%,9.15%
63555,Antiques > Furniture > Benches & Stools > 1800-1899,10%,9.15%,9.15%,9.15%
63556,Antiques > Furniture > Benches & Stools > 1900-1950,10%,9.15%,9.15%,9.15%
156953,Antiques > Furniture > Benches & Stools > Post-1950,10%,9.15%,9.15%,9.15%
162888,Antiques > Furniture > Benches & Stools > Unknown,10%,9.15%,9.15%,9.15%
63558,Antiques > Furniture > Bookcases > Pre-1800,10%,9.15%,9.15%,9.15%
63559,Antiques > Furniture > Bookcases > 1800-1899,10%,9.15%,9.15%,9.15%
63560,Antiques > Furniture > Bookcases > 1900-1950,10%,9.15%,9.15%,9.15%
156309,Antiques > Furniture > Bookcases > Post-1950,10%,9.15%,9.15%,9.15%
162889,Antiques > Furniture > Bookcases > Unknown,10%,9.15%,9.15%,9.15%
63562,Antiques > Furniture > Cabinets & Cupboards > Pre-1800,10%,9.15%,9.15%,9.15%
63563,Antiques > Furniture > Cabinets & Cupboards > 1800-1899,10%,9.15%,9.15%,9.15%
63564,Antiques > Furniture > Cabinets & Cupboards > 1900-1950,10%,9.15%,9.15%,9.15%
156310,Antiques > Furniture > Cabinets & Cupboards > Post-1950,10%,9.15%,9.15%,9.15%
162892,Antiques > Furniture > Cabinets & Cupboards > Unknown,10%,9.15%,9.15%,9.15%
63566,Antiques > Furniture > Chairs > Pre-1800,10%,9.15%,9.15%,9.15%
63567,Antiques > Furniture > Chairs > 1800-1899,10%,9.15%,9.15%,9.15%
63568,Antiques > Furniture > Chairs > 1900-1950,10%,9.15%,9.15%,9.15%
156311,Antiques > Furniture > Chairs > Post-1950,10%,9.15%,9.15%,9.15%
162893,Antiques > Furniture > Chairs > Unknown,10%,9.15%,9.15%,9.15%
98431,Antiques > Furniture > Chests & Trunks > Pre-1800,10%,9.15%,9.15%,9.15%
66842,Antiques > Furniture > Chests & Trunks > 1800-1899,10%,9.15%,9.15%,9.15%
66854,Antiques > Furniture > Chests & Trunks > 1900-1950,10%,9.15%,9.15%,9.15%
162890,Antiques > Furniture > Chests & Trunks > Post-1950,10%,9.15%,9.15%,9.15%
162891,Antiques > Furniture > Chests & Trunks > Unknown,10%,9.15%,9.15%,9.15%
63570,Antiques > Furniture > Desks & Secretaries > Pre-1800,10%,9.15%,9.15%,9.15%
63571,Antiques > Furniture > Desks & Secretaries > 1800-1899,10%,9.15%,9.15%,9.15%
63572,Antiques > Furniture > Desks & Secretaries > 1900-1950,10%,9.15%,9.15%,9.15%
156312,Antiques > Furniture > Desks & Secretaries > Post-1950,10%,9.15%,9.15%,9.15%
162896,Antiques > Furniture > Desks & Secretaries > Unknown,10%,9.15%,9.15%,9.15%
63574,Antiques > Furniture > Dining Sets > Pre-1800,10%,9.15%,9.15%,9.15%
63575,Antiques > Furniture > Dining Sets > 1800-1899,10%,9.15%,9.15%,9.15%
63576,Antiques > Furniture > Dining Sets > 1900-1950,10%,9.15%,9.15%,9.15%
156313,Antiques > Furniture > Dining Sets > Post-1950,10%,9.15%,9.15%,9.15%
162897,Antiques > Furniture > Dining Sets > Unknown,10%,9.15%,9.15%,9.15%
63578,Antiques > Furniture > Dressers & Vanities > Pre-1800,10%,9.15%,9.15%,9.15%
63579,Antiques > Furniture > Dressers & Vanities > 1800-1899,10%,9.15%,9.15%,9.15%
63580,Antiques > Furniture > Dressers & Vanities > 1900-1950,10%,9.15%,9.15%,9.15%
156314,Antiques > Furniture > Dressers & Vanities > Post-1950,10%,9.15%,9.15%,9.15%
162898,Antiques > Furniture > Dressers & Vanities > Unknown,10%,9.15%,9.15%,9.15%
162900,Antiques > Furniture > Hall Trees & Stands > Pre-1800,10%,9.15%,9.15%,9.15%
162901,Antiques > Furniture > Hall Trees & Stands > 1800-1899,10%,9.15%,9.15%,9.15%
162902,Antiques > Furniture > Hall Trees & Stands > 1900-1950,10%,9.15%,9.15%,9.15%
162903,Antiques > Furniture > Hall Trees & Stands > Post-1950,10%,9.15%,9.15%,9.15%
162904,Antiques > Furniture > Hall Trees & Stands > Unknown,10%,9.15%,9.15%,9.15%
162906,Antiques > Furniture > Nightstands > Pre-1800,10%,9.15%,9.15%,9.15%
162907,Antiques > Furniture > Nightstands > 1800-1899,10%,9.15%,9.15%,9.15%
162908,Antiques > Furniture > Nightstands > 1900-1950,10%,9.15%,9.15%,9.15%
162909,Antiques > Furniture > Nightstands > Post-1950,10%,9.15%,9.15%,9.15%
162910,Antiques > Furniture > Nightstands > Unknown,10%,9.15%,9.15%,9.15%
98445,Antiques > Furniture > Sideboards & Buffets > Pre-1800,10%,9.15%,9.15%,9.15%
66848,Antiques > Furniture > Sideboards & Buffets > 1800-1899,10%,9.15%,9.15%,9.15%
66862,Antiques > Furniture > Sideboards & Buffets > 1900-1950,10%,9.15%,9.15%,9.15%
162914,Antiques > Furniture > Sideboards & Buffets > Post-1950,10%,9.15%,9.15%,9.15%
162915,Antiques > Furniture > Sideboards & Buffets > Unknown,10%,9.15%,9.15%,9.15%
63582,Antiques > Furniture > Sofas & Chaises > Pre-1800,10%,9.15%,9.15%,9.15%
63583,Antiques > Furniture > Sofas & Chaises > 1800-1899,10%,9.15%,9.15%,9.15%
63584,Antiques > Furniture > Sofas & Chaises > 1900-1950,10%,9.15%,9.15%,9.15%
156315,Antiques > Furniture > Sofas & Chaises > Post-1950,10%,9.15%,9.15%,9.15%
162911,Antiques > Furniture > Sofas & Chaises > Unknown,10%,9.15%,9.15%,9.15%
63586,Antiques > Furniture > Tables > Pre-1800,10%,9.15%,9.15%,9.15%
63587,Antiques > Furniture > Tables > 1800-1899,10%,9.15%,9.15%,9.15%
63588,Antiques > Furniture > Tables > 1900-1950,10%,9.15%,9.15%,9.15%
156316,Antiques > Furniture > Tables > Post-1950,10%,9.15%,9.15%,9.15%
